#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	For 3.4, (c) Kentaro Shirakata 2003-2004
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
)elven arrow:		エルフの矢:
)runed arrow:		ルーンの刻まれた矢:
)orcish arrow:		オークの矢:
)crude arrow:		粗末な矢:
)silver arrow:		銀の矢:
)crossbow bolt:		クロスボゥボルト:
)bamboo arrow:		竹の矢:
)dart:			投げ矢:
)shuriken:		手裏剣:
)throwing star:		星型の投擲武器:
)boomerang:		ブーメラン:
)spear:			槍:
)elven spear:		エルフの槍:
)runed spear:		ルーンの刻まれた槍:
)orcish spear:		オークの槍:
)crude spear:		粗末な槍:
)dwarvish spear:	ドワーフの槍:
)stout spear:		頑丈な槍:
)silver spear:		銀の槍:
)javelin:		ジャベリン:
)throwing spear:	投げ槍:
)trident:		トライデント:
)lance:			ランス:
)dagger:		短剣:
)elven dagger:		エルフの短剣:
)runed dagger:		ルーンの刻まれた短剣:
)orcish dagger:		オークの短剣:
)silver dagger:		銀の短剣:
)crude dagger:		粗末な短剣:
)athame:		アサメ:
)scalpel:		メス:
)knife:			ナイフ:
)stiletto:		スティレット:
)worm tooth:		ワームの歯:
)crysknife:		クリスナイフ:
)dwarvish mattock:	ドワーフのつるはし:
)broad pick:		幅広のつるはし:
)heavy pick:		重いつるはし:
)axe:			斧:
)battle-axe:		戦斧:
)double-headed axe:	両刃の斧:
)short sword:		小剣:
)elven short sword:	エルフの小剣:
)runed short sword:	ルーンの刻まれた小剣:
)orcish short sword:	オークの小剣:
)crude short sword:	粗末な小剣:
)dwarvish short sword:	ドワーフの小剣:
)broad short sword:	幅広の小剣:
)scimitar:		シミター:
)curved sword:		曲った剣:
)iron saber:		サーベル:
)silver saber:		銀のサーベル:
)broadsword:		幅広の剣:
)elven broadsword:	エルフの幅広の剣:
)runed broadsword:	ルーンの刻まれた幅広の剣:
)long sword:		長剣:
)two-handed sword:	両手剣:
)katana:		カタナ:
)samurai sword:		侍の剣:
)tsurugi:		ツルギ:
)long samurai sword:	侍の長剣:
)runesword:		ルーンソード:
)partisan:		パルチザン:
)vulgar polearm:	両翼副刃の長槍:
)ranseur:		ランサー:
)hilted polearm:	十字刃の長槍:
)spetum:		スペタム:
)forked polearm:	三叉穂先の長槍:
)glaive:		グレイブ:
)single-edged polearm:	片刃の槍剣:
)halberd:		ハルバード:
)angled poleaxe:	斜刃の槍斧:
)bardiche:		バーディック:
)long poleaxe:		長刃の鉞:
)voulge:		ヴォウジェ:
)pole cleaver:		鉈付きの竿:
)fauchard:		フォシャール:
)pole sickle:		鎌付きの竿:
)guisarme:		ギザルム:
)pruning hook:		高枝刈り鎌:
)bill-guisarme:		ビル・ギザルム:
)hooked polearm:	鈎付きの長槍:
)lucern hammer:		ルッツェルンハンマー:
)pronged polearm:	棘付きの矛槍:
)bec de corbin:		ベック・ド・コルバン:
)beaked polearm:	くちばし付きの矛槍:
)mace:			メイス:
)morning star:		モーニングスター:
)war hammer:		ウォーハンマー:
)club:			棍棒:
)rubber hose:		ゴムホース:
)quarterstaff:		六尺棒:
)staff:			棒:
)aklys:			アキリス:
)thonged club:		紐付の棍棒:
)flail:			フレイル:
)bullwhip:		鞭:
)silver long sword:	銀の長剣:
