#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese monster table
#
player:			あなた:
#
#	ants
#
giant ant:		巨大蟻:
killer bee:		殺人蜂:
soldier ant:		兵隊蟻:
fire ant:		火蟻:
giant beetle:		巨大甲虫:
queen bee:		女王蜂:
queen ant:		女王蟻:
ice ant:		氷蟻:
#
#	blobs
#
acid blob:		酸のブロッブ:
quivering blob:		震えるブロッブ:
gelatinous cube:	ゼラチンキューブ:
#
#	cockatrice
#
chickatrice:		チカトリス:
cockatrice:		コカトリス:
pyrolisk:		ピロリスク:
#
#	dogs and other canines
#
jackal:			ジャッカル:
fox:			狐:
coyote:			コヨーテ:
werejackal:		ジャッカル人間:
little dog:		仔犬:
dog:			犬:
large dog:		大きな犬:
dingo:			ディンゴ:
wolf:			狼:
werewolf:		狼人間:
warg:			ワーグ:
winter wolf:		冬狼:
winter wolf cub:	冬狼の仔:
hell hound pup:		ヘルハウンドの仔:
hell hound:		ヘルハウンド:
fox spirit:		妖狐:
Cerberus:		ケルベロス:
#
#	eyes
#
gas spore:		胞子ガス:
floating eye:		さまよう目:
freezing sphere:	氷の球体:
flaming sphere:		炎の球体:
shocking sphere:	電撃の球体:
beholder:		ビホルダー:
#
#	felines 
#
kitten:			仔猫:
housecat:		家猫:
jaguar:			ジャガー:
lynx:			山猫:
panther:		パンサー:
large cat:		大きな猫:
tiger:			虎:
#
#	gremlins
#
gremlin:		グレムリン:
gargoyle:		ガーゴイル:
winged gargoyle:	羽のあるガーゴイル:
#
#	humanoids
#
hobbit:			ホビット:
dwarf:			ドワーフ:
bugbear:		バグベアー:
dwarf lord:		ドワーフの貴族:
dwarf king:		ドワーフの王:
mind flayer:		マインドフレア:
master mind flayer:	マスターマインドフレア:
#
#	imps & other minor demons/devils
#
manes:			亡霊:
homunculus:		ホムンクルス:
imp:			インプ:
lemure:			レムレース:
quasit:			クアシト:
tengu:			天狗:
#
#	jellies 
#
blue jelly:		青色ゼリー:
spotted jelly:		まだらゼリー:
ochre jelly:		黄土色ゼリー:
#
